Freq,Posting_ptr,Terms_ptr
6,"[44, 29, 47, 59, 59, 2]",0
2,"[46, 48]",4
3,"[30, 30, 65]",9
16,"[28, 4, 36, 56, 10, 11, 70, 63, 69, 68, 14, 6, 57, 54, 35, 35]",14
20,"[18, 73, 44, 83, 37, 58, 45, 57, 41, 30, 85, 47, 38, 77, 33, 82, 65, 35, 15, 27]",17
1,[78],23
2,"[58, 58]",31
2,"[17, 9]",35
1,[34],44
1,[81],53
2,"[1, 48]",57
1,[7],62
2,"[18, 32]",71
4,"[49, 64, 40, 49]",75
24,"[19, 67, 60, 19, 21, 21, 58, 24, 13, 5, 30, 50, 37, 23, 3, 13, 13, 30, 13, 31, 17, 17, 16, 38]",80
2,"[67, 17]",83
3,"[4, 68, 71]",89
1,[13],92
8,"[17, 35, 23, 34, 14, 21, 40, 70]",96
1,[59],100
5,"[34, 60, 33, 59, 9]",104
1,[48],109
1,[48],117
1,[27],123
2,"[61, 13]",132
1,[50],137
1,[57],146
4,"[42, 61, 59, 28]",150
1,[9],159
10,"[64, 31, 42, 30, 16, 33, 0, 67, 30, 30]",162
5,"[16, 34, 30, 47, 66]",166
1,[14],171
1,[81],175
1,[44],179
1,[30],184
1,[27],194
16,"[30, 76, 26, 12, 26, 26, 26, 22, 12, 12, 74, 20, 20, 73, 20, 73]",198
2,"[75, 52]",206
16,"[23, 23, 56, 24, 54, 54, 61, 27, 18, 36, 5, 9, 27, 17, 61, 36]",208
2,"[18, 34]",212
21,"[29, 56, 56, 63, 59, 52, 16, 31, 59, 29, 61, 59, 21, 59, 16, 46, 63, 59, 21, 63, 45]",215
5,"[68, 32, 27, 16, 5]",219
1,[44],224
2,"[15, 53]",230
1,[16],235
1,[58],243
1,[55],251
1,[29],255
8,"[60, 59, 68, 54, 18, 43, 16, 45]",260
1,[15],266
3,"[35, 33, 62]",275
2,"[3, 4]",280
1,[72],283
3,"[62, 20, 20]",289
2,"[45, 48]",292
1,[71],296
1,[48],303
9,"[36, 29, 24, 31, 47, 59, 67, 22, 30]",308
3,"[37, 16, 81]",312
1,[23],316
4,"[17, 17, 17, 17]",321
1,[44],325
