Terms,docFreq,postList
abad,6,"[44, 29, 47, 59, 59, 2]"
abdul,2,"[46, 48]"
acara,3,"[30, 30, 65]"
ada,16,"[28, 4, 36, 56, 10, 11, 70, 63, 69, 68, 14, 6, 57, 54, 35, 35]"
adalah,20,"[18, 73, 44, 83, 37, 58, 45, 57, 41, 30, 85, 47, 38, 77, 33, 82, 65, 35, 15, 27]"
adaptasi,1,[78]
adat,2,"[58, 58]"
adrenalin,2,"[17, 9]"
advanture,1,[34]
agak,1,[81]
agama,2,"[1, 48]"
agendakan,1,[7]
agro,2,"[18, 32]"
agung,4,"[49, 64, 40, 49]"
air,24,"[19, 67, 60, 19, 21, 21, 58, 24, 13, 5, 30, 50, 37, 23, 3, 13, 13, 30, 13, 31, 17, 17, 16, 38]"
airnya,2,"[67, 17]"
aja,3,"[4, 68, 71]"
ajak,1,[13]
akan,8,"[17, 35, 23, 34, 14, 21, 40, 70]"
akar,1,[59]
akhir,5,"[34, 60, 33, 59, 9]"
akhirnya,1,[48]
akibat,1,[48]
akomodasi,1,[27]
akses,2,"[61, 13]"
aksesoris,1,[50]
aksi,1,[57]
aktivitas,4,"[42, 61, 59, 28]"
ala,1,[9]
alam,10,"[64, 31, 42, 30, 16, 33, 0, 67, 30, 30]"
alami,5,"[16, 34, 30, 47, 66]"
alas,1,[14]
alot,1,[81]
alter,1,[44]
alternatif,1,[30]
aman,1,[27]
ambarawa,16,"[30, 76, 26, 12, 26, 26, 26, 22, 12, 12, 74, 20, 20, 73, 20, 73]"
an,2,"[75, 52]"
anak,16,"[23, 23, 56, 24, 54, 54, 61, 27, 18, 36, 5, 9, 27, 17, 61, 36]"
and,2,"[18, 34]"
anda,21,"[29, 56, 56, 63, 59, 52, 16, 31, 59, 29, 61, 59, 21, 59, 16, 46, 63, 59, 21, 63, 45]"
aneka,5,"[68, 32, 27, 16, 5]"
anggun,1,[44]
angin,2,"[15, 53]"
angklung,1,[16]
angkutan,1,[58]
anna,1,[55]
antar,1,[29]
antara,8,"[60, 59, 68, 54, 18, 43, 16, 45]"
antaranya,1,[15]
antik,3,"[35, 33, 62]"
apa,2,"[3, 4]"
apakah,1,[72]
api,3,"[62, 20, 20]"
arab,2,"[45, 48]"
arabika,1,[71]
arang,1,[48]
area,9,"[36, 29, 24, 31, 47, 59, 67, 22, 30]"
aren,3,"[37, 16, 81]"
arena,1,[23]
argo,4,"[17, 17, 17, 17]"
aristokrat,1,[44]
arkeologi,1,[46]
arsitek,3,"[55, 62, 62]"
arsitekstunya,1,[35]
arsitektur,11,"[35, 47, 44, 44, 44, 26, 48, 49, 44, 50, 59]"
art,2,"[62, 59]"
artikel,1,[59]
artinya,1,[29]
asalnya,1,[15]
asia,1,[47]
asin,1,[77]
asisten,1,[48]
asli,3,"[47, 7, 15]"
asmaul,1,[49]
aspal,1,[27]
asri,1,[56]
assumpta,1,[12]
asuransi,1,[59]
asyik,1,[11]
at,1,[51]
atap,5,"[2, 44, 49, 47, 48]"
atas,5,"[44, 21, 20, 74, 6]"
atasnya,1,[81]
atau,19,"[62, 28, 48, 58, 57, 54, 25, 10, 64, 74, 58, 21, 58, 69, 43, 42, 37, 3, 84]"
ati,1,[75]
atraksi,2,"[16, 16]"
atv,4,"[28, 24, 34, 10]"
avalokitesvara,1,[50]
awal,3,"[59, 53, 1]"
awalnya,2,"[52, 44]"
ayam,3,"[63, 78, 84]"
ayo,2,"[14, 5]"
ayoo,1,[5]
ayunan,1,[14]
babadan,1,[77]
babat,4,"[75, 80, 80, 80]"
baca,1,[59]
bag,1,[10]
bagai,1,[34]
bagaikan,1,[19]
bagaimana,2,"[40, 10]"
bagi,12,"[27, 22, 59, 58, 36, 36, 27, 66, 31, 56, 28, 72]"
bagian,7,"[2, 2, 22, 21, 57, 48, 49]"
bahan,4,"[80, 16, 81, 83]"
bahasa,3,"[62, 29, 19]"
bahkan,1,[12]
baik,3,"[47, 52, 21]"
bakal,2,"[7, 72]"
bakau,1,[53]
bakso,3,"[63, 77, 77]"
baku,1,[81]
bakwan,1,[83]
baladewa,1,[37]
balemong,2,"[35, 35]"
bali,1,[40]
balok,1,[81]
bambu,3,"[21, 68, 16]"
